==========================================================================================
  REGULATORY AUDIT: MAX-WIN ACHIEVABILITY & WIN HIT-RATE
==========================================================================================

[AUDIT 1] BASE GAME >0-WIN HIT-RATE
Requirement: Player should win something roughly 1-in-3 to 1-in-8 rounds (not worse than 1-in-20)
------------------------------------------------------------------------------------------
      Mode  Picks |   P(any win)     1-in-N |   Status
------------------------------------------------------------------------------------------
   classic      1 |     25.0000%       4.0 |       ok
   classic      2 |     44.2308%       2.3 |       ok
   classic      3 |     58.9069%       1.7 |       ok
   classic      4 |     70.0131%       1.4 |       ok
   classic      5 |     78.3428%       1.3 |       ok
   classic      6 |     47.4040%       2.1 |       ok
   classic      7 |     57.2316%       1.7 |       ok
   classic      8 |     31.1735%       3.2 |       ok
   classic      9 |     39.8595%       2.5 |       ok
   classic     10 |     48.5055%       2.1 |       ok
       low      1 |    100.0000%       1.0 |       ok
       low      2 |     44.2308%       2.3 |       ok
       low      3 |     58.9069%       1.7 |       ok
       low      4 |     25.5881%       3.9 |       ok
       low      5 |     36.6944%       2.7 |       ok
       low      6 |     47.4040%       2.1 |       ok
       low      7 |     57.2316%       1.7 |       ok
       low      8 |     65.9176%       1.5 |       ok
       low      9 |     73.3628%       1.4 |       ok
       low     10 |     79.5771%       1.3 |       ok
    medium      1 |    100.0000%       1.0 |       ok
    medium      2 |     44.2308%       2.3 |       ok
    medium      3 |     14.8785%       6.7 |       ok
    medium      4 |     25.5881%       3.9 |       ok
    medium      5 |     36.6944%       2.7 |       ok
    medium      6 |     15.2752%       6.5 |       ok
    medium      7 |     22.8349%       4.4 |       ok
    medium      8 |     31.1735%       3.2 |       ok
    medium      9 |     39.8595%       2.5 |       ok
    medium     10 |     48.5055%       2.1 |       ok
      high      1 |     25.0000%       4.0 |       ok
      high      2 |      5.7692%      17.3 |     WARN
      high      3 |      1.2146%      82.3 |     FAIL
      high      4 |     25.3584%       3.9 |       ok
      high      5 |      8.9288%      11.2 |     WARN
      high      6 |      2.5823%      38.7 |     FAIL
      high      7 |      5.1956%      19.2 |     WARN
      high      8 |      8.9373%      11.2 |     WARN
      high      9 |     13.8014%       7.2 |       ok
      high     10 |     19.6855%       5.1 |       ok


[AUDIT 2] BASE GAME MAX-WIN ACHIEVABILITY
Requirement: Max payout must occur at frequency >= 1 in 20,000,000
------------------------------------------------------------------------------------------
      Mode  Picks |   Max Mult         P(max)         1-in-N |   Status
------------------------------------------------------------------------------------------
   classic      1 |      3.80x  0.2500000000             4 |       ok
   classic      2 |      4.32x  0.0576923077            17 |       ok
   classic      3 |      9.98x  0.0121457490            82 |       ok
   classic      4 |     21.60x  0.0022978444           435 |       ok
   classic      5 |     34.56x  0.0003829741         2,611 |       ok
   classic      6 |     38.40x  0.0000547106        18,278 |       ok
   classic      7 |     57.60x  0.0000064365       155,363 |       ok
   classic      8 |     67.20x  0.0000005851     1,708,993 |       ok
   classic      9 |     81.60x  0.0000000366    27,343,888 |     FAIL
   classic     10 |     96.00x  0.0000000012   847,660,528 |     FAIL
       low      1 |      1.78x  0.2500000000             4 |       ok
       low      2 |      3.65x  0.0576923077            17 |       ok
       low      3 |     24.96x  0.0121457490            82 |       ok
       low      4 |     86.40x  0.0022978444           435 |       ok
       low      5 |    288.00x  0.0003829741         2,611 |       ok
       low      6 |    672.00x  0.0000547106        18,278 |       ok
       low      7 |    672.00x  0.0000064365       155,363 |       ok
       low      8 |    768.00x  0.0000005851     1,708,993 |       ok
       low      9 |    960.00x  0.0000000366    27,343,888 |     FAIL
       low     10 |    960.00x  0.0000000012   847,660,528 |     FAIL
    medium      1 |      2.64x  0.2500000000             4 |       ok
    medium      2 |      4.90x  0.0576923077            17 |       ok
    medium      3 |     48.00x  0.0121457490            82 |       ok
    medium      4 |     96.00x  0.0022978444           435 |       ok
    medium      5 |    374.40x  0.0003829741         2,611 |       ok
    medium      6 |    681.60x  0.0000547106        18,278 |       ok
    medium      7 |    768.00x  0.0000064365       155,363 |       ok
    medium      8 |    864.00x  0.0000005851     1,708,993 |       ok
    medium      9 |    960.00x  0.0000000366    27,343,888 |     FAIL
    medium     10 |    960.00x  0.0000000012   847,660,528 |     FAIL
      high      1 |      3.80x  0.2500000000             4 |       ok
      high      2 |     16.42x  0.0576923077            17 |       ok
      high      3 |     78.24x  0.0121457490            82 |       ok
      high      4 |    248.64x  0.0393916183            25 |       ok
      high      5 |    432.00x  0.0003829741         2,611 |       ok
      high      6 |    681.60x  0.0000547106        18,278 |       ok
      high      7 |    768.00x  0.0000064365       155,363 |       ok
      high      8 |    864.00x  0.0000005851     1,708,993 |       ok
      high      9 |    960.00x  0.0000000366    27,343,888 |     FAIL
      high     10 |   1000.00x  0.0000000012   847,660,528 |     FAIL


[AUDIT 3] SUPERBALL MAX-WIN ACHIEVABILITY
Max SB win = sb_mult[max_k] * 7 (when last ball is a hit)
P(max SB win) = P(max_k hits) * P(last ball is hit | max_k hits) = P(max_k) * max_k/10
Requirement: >= 1 in 20,000,000
------------------------------------------------------------------------------------------
      Mode  Picks |     SB Max      P(SB max)         1-in-N |   Status
------------------------------------------------------------------------------------------
   classic      1 |     42.42x  0.0250000000            40 |       ok
   classic      2 |     43.96x  0.0115384615            86 |       ok
   classic      3 |     88.62x  0.0036437247           274 |       ok
   classic      4 |    177.94x  0.0009191378         1,087 |       ok
   classic      5 |    242.20x  0.0001914870         5,222 |       ok
   classic      6 |    249.62x  0.0000328263        30,463 |       ok
   classic      7 |    349.30x  0.0000045056       221,947 |       ok
   classic      8 |    369.95x  0.0000004681     2,136,241 |       ok
   classic      9 |    434.91x  0.0000000329    30,382,097 |     FAIL
   classic     10 |    511.00x  0.0000000012   847,660,528 |     FAIL
       low      1 |     42.42x  0.0250000000            40 |       ok
       low      2 |     37.66x  0.0115384615            86 |       ok
       low      3 |    212.66x  0.0036437247           274 |       ok
       low      4 |    585.41x  0.0009191378         1,087 |       ok
       low      5 |   1864.38x  0.0001914870         5,222 |       ok
       low      6 |   4018.70x  0.0000328263        30,463 |       ok
       low      7 |   4100.18x  0.0000045056       221,947 |       ok
       low      8 |   4816.28x  0.0000004681     2,136,241 |       ok
       low      9 |   6034.77x  0.0000000329    30,382,097 |     FAIL
       low     10 |   5990.81x  0.0000000012   847,660,528 |     FAIL
    medium      1 |     42.42x  0.0250000000            40 |       ok
    medium      2 |     49.35x  0.0115384615            86 |       ok
    medium      3 |    333.76x  0.0036437247           274 |       ok
    medium      4 |    632.38x  0.0009191378         1,087 |       ok
    medium      5 |   2369.22x  0.0001914870         5,222 |       ok
    medium      6 |   3553.97x  0.0000328263        30,463 |       ok
    medium      7 |   3958.78x  0.0000045056       221,947 |       ok
    medium      8 |   4608.80x  0.0000004681     2,136,241 |       ok
    medium      9 |   5265.82x  0.0000000329    30,382,097 |     FAIL
    medium     10 |   5169.78x  0.0000000012   847,660,528 |     FAIL
      high      1 |     42.42x  0.0250000000            40 |       ok
      high      2 |    133.77x  0.0115384615            86 |       ok
      high      3 |    499.17x  0.0036437247           274 |       ok
      high      4 |    132.09x  0.0118174855            84 |       ok
      high      5 |   2349.34x  0.0001914870         5,222 |       ok
      high      6 |   3149.93x  0.0000328263        30,463 |       ok
      high      7 |   3523.94x  0.0000045056       221,947 |       ok
      high      8 |   3857.14x  0.0000004681     2,136,241 |       ok
      high      9 |   4327.68x  0.0000000329    30,382,097 |     FAIL
      high     10 |   4691.12x  0.0000000012   847,660,528 |     FAIL


==========================================================================================
  SUMMARY
==========================================================================================

  [AUDIT 1] FAIL - 2 pick configurations have >0-win rate worse than 1-in-20:
    high 3-pick: 1-in-82.3
    high 6-pick: 1-in-38.7

  [AUDIT 2] FAIL - 8 base game max-wins are rarer than 1-in-20M:
    classic 9-pick: 81.60x at 1-in-27,343,888
    classic 10-pick: 96.00x at 1-in-847,660,528
    low 9-pick: 960.00x at 1-in-27,343,888
    low 10-pick: 960.00x at 1-in-847,660,528
    medium 9-pick: 960.00x at 1-in-27,343,888
    medium 10-pick: 960.00x at 1-in-847,660,528
    high 9-pick: 960.00x at 1-in-27,343,888
    high 10-pick: 1000.00x at 1-in-847,660,528

  [AUDIT 3] FAIL - 8 Superball max-wins are rarer than 1-in-20M:
    classic 9-pick: 434.91x at 1-in-30,382,097
    classic 10-pick: 511.00x at 1-in-847,660,528
    low 9-pick: 6034.77x at 1-in-30,382,097
    low 10-pick: 5990.81x at 1-in-847,660,528
    medium 9-pick: 5265.82x at 1-in-30,382,097
    medium 10-pick: 5169.78x at 1-in-847,660,528
    high 9-pick: 4327.68x at 1-in-30,382,097
    high 10-pick: 4691.12x at 1-in-847,660,528
